[Name]
ExLev_MOIMODIPscatter_MOI-3_MODIP30

[Notes]
Results of MOI/MODIP experiments, MOI 10^-3, MODIP 30

[Components]
time, Cviab, VOnlyRel, VTot, DTot, pT, pI, pTa, pIa, T, I, Ta, Ia

[Componentnotes]


[Values]
0.00e+00, 2.24e+06, NaN, NaN, NaN, 8.97e-01, 8.97e+01, 4.15e+00, 5.27e+00, 2.01e+04, 2.01e+06, 9.30e+04, 1.18e+05
2.00e+00, 1.94e+06, 0.00e+00, NaN, 6.28e+07, 6.48e-01, 9.02e+01, 4.08e+00, 5.11e+00, 1.26e+04, 1.75e+06, 7.91e+04, 9.91e+04
3.00e+00, NaN, 0.00e+00, NaN, 1.48e+08, 3.51e-01, 8.12e+01, 1.02e+01, 8.26e+00, NaN, NaN, NaN, NaN
4.50e+00, NaN, 0.00e+00, 1.38e+05, 1.59e+08, 2.15e-01, 9.11e+01, 3.27e+00, 5.42e+00, NaN, NaN, NaN, NaN
6.00e+00, 2.09e+06, 0.00e+00, 1.16e+05, 1.22e+08, 1.11e-01, 9.34e+01, 2.74e+00, 3.77e+00, 2.32e+03, 1.95e+06, 5.73e+04, 7.88e+04
9.00e+00, 2.10e+06, 0.00e+00, NaN, 1.44e+08, 1.79e-01, 9.05e+01, 2.32e+00, 6.97e+00, 3.77e+03, 1.90e+06, 4.87e+04, 1.46e+05
1.20e+01, 2.26e+06, 0.00e+00, NaN, 1.69e+08, 3.85e-01, 8.59e+01, 5.45e+00, 8.24e+00, 8.70e+03, 1.94e+06, 1.23e+05, 1.86e+05
1.60e+01, 2.32e+06, 0.00e+00, 7.85e+04, 1.74e+08, 5.84e-02, 8.27e+01, 4.77e+00, 1.25e+01, 1.36e+03, 1.92e+06, 1.11e+05, 2.89e+05
2.00e+01, 2.60e+06, 8.00e+01, NaN, 1.01e+08, 4.04e-01, 8.21e+01, 6.50e+00, 1.10e+01, 1.05e+04, 2.14e+06, 1.69e+05, 2.85e+05
2.60e+01, 2.56e+06, 8.00e+01, 1.46e+05, 2.29e+08, 7.14e-01, 8.08e+01, 7.02e+00, 1.15e+01, 1.83e+04, 2.07e+06, 1.80e+05, 2.95e+05
3.20e+01, 2.83e+06, 0.00e+00, 5.55e+05, 2.12e+08, 8.08e-01, 8.88e+01, 3.81e+00, 6.57e+00, 2.29e+04, 2.51e+06, 1.08e+05, 1.86e+05
3.80e+01, 2.83e+06, 8.00e+02, 1.04e+06, 1.82e+08, 9.30e-02, 9.06e+01, 3.27e+00, 6.08e+00, 2.63e+03, 2.56e+06, 9.26e+04, 1.72e+05
4.50e+01, 2.58e+06, 6.00e+02, 2.01e+06, 3.07e+08, 8.69e-02, 9.40e+01, 1.18e+00, 4.68e+00, 2.24e+03, 2.43e+06, 3.05e+04, 1.21e+05
5.30e+01, 2.56e+06, 7.20e+02, 2.29e+06, 2.28e+08, 2.05e-01, 9.25e+01, 2.15e+00, 5.14e+00, 5.24e+03, 2.37e+06, 5.50e+04, 1.31e+05
6.10e+01, 2.55e+06, 1.60e+03, 3.93e+06, 2.76e+08, 3.45e-02, 9.14e+01, 2.12e+00, 6.41e+00, 8.79e+02, 2.33e+06, 5.40e+04, 1.63e+05
