[Name]
ExLev_MOIMODIPscatter_MOI3_MODIP3

[Notes]
Results of MOI/MODIP experiments, MOI 3, MODIP 3

[Components]
time, Cviab, VOnlyRel, VTot, DTot, pT, pI, pTa, pIa, T, I, Ta, Ia

[Componentnotes]


[Values]
0.00e+00, 2.19e+06, NaN, NaN, NaN, 9.71e-01, 9.31e+01, 1.98e+00, 3.96e+00, 2.13e+04, 2.04e+06, 4.33e+04, 8.67e+04
2.00e+00, 1.90e+06, 1.20e+05, 3.23e+07, 2.38e+07, 3.05e-01, 9.39e+01, 1.40e+00, 4.38e+00, 5.80e+03, 1.78e+06, 2.65e+04, 8.33e+04
3.00e+00, NaN, 2.40e+05, 7.46e+07, 5.16e+07, 1.61e-01, 9.30e+01, 8.35e-01, 6.00e+00, NaN, NaN, NaN, NaN
4.50e+00, NaN, 2.40e+06, 7.71e+08, 3.02e+09, 1.47e-01, 8.92e+01, 8.31e-01, 9.85e+00, NaN, NaN, NaN, NaN
6.00e+00, 2.00e+06, 8.00e+06, 5.08e+09, 1.91e+10, 1.06e-01, 8.64e+01, 1.30e+00, 1.22e+01, 2.11e+03, 1.73e+06, 2.61e+04, 2.44e+05
9.00e+00, 2.06e+06, 2.80e+07, 1.35e+10, 5.36e+10, 1.09e-01, 6.25e+01, 1.11e+00, 3.63e+01, 2.25e+03, 1.29e+06, 2.28e+04, 7.48e+05
1.20e+01, 1.78e+06, 2.80e+07, 2.00e+10, 7.31e+10, 2.12e-01, 3.83e+01, 3.11e+00, 5.84e+01, 3.77e+03, 6.82e+05, 5.54e+04, 1.04e+06
1.60e+01, 1.17e+06, 1.60e+07, 2.79e+10, 1.11e+11, 8.71e-02, 1.28e+01, 2.27e+00, 8.48e+01, 1.02e+03, 1.50e+05, 2.65e+04, 9.93e+05
2.00e+01, 4.90e+05, 1.20e+07, 1.76e+10, 1.01e+11, 8.16e-02, 6.48e+00, 2.61e+00, 9.08e+01, 4.00e+02, 3.17e+04, 1.28e+04, 4.45e+05
2.60e+01, 1.10e+05, 2.40e+06, 3.26e+10, 1.15e+11, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
3.20e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
3.80e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
4.50e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
5.30e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
6.10e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
