[Name]
ExLev_MOIMODIPscatter_MOI3_MODIP30

[Notes]
Results of MOI/MODIP experiments, MOI 3, MODIP 30

[Components]
time, Cviab, VOnlyRel, VTot, DTot, pT, pI, pTa, pIa, T, I, Ta, Ia

[Componentnotes]


[Values]
0.00e+00, 2.15e+06, NaN, NaN, NaN, 3.29e-01, 9.32e+01, 1.63e+00, 4.83e+00, 7.08e+03, 2.00e+06, 3.50e+04, 1.04e+05
2.00e+00, 1.90e+06, 6.40e+04, 5.58e+06, 4.24e+07, 2.58e-01, 9.43e+01, 1.43e+00, 3.99e+00, 4.90e+03, 1.79e+06, 2.71e+04, 7.58e+04
3.00e+00, NaN, 6.00e+04, 1.80e+07, 1.62e+08, 1.30e-01, 9.17e+01, 1.38e+00, 6.82e+00, NaN, NaN, NaN, NaN
4.50e+00, NaN, 2.80e+06, 4.42e+08, 5.25e+09, 8.71e-02, 8.84e+01, 8.54e-01, 1.07e+01, NaN, NaN, NaN, NaN
6.00e+00, 2.08e+06, 4.40e+06, 1.15e+09, 1.43e+10, 4.82e-01, 7.72e+01, 2.84e+00, 1.95e+01, 1.00e+04, 1.60e+06, 5.90e+04, 4.06e+05
9.00e+00, 1.94e+06, 2.00e+07, 3.38e+09, 3.34e+10, 2.32e-01, 5.90e+01, 2.81e+00, 3.80e+01, 4.50e+03, 1.14e+06, 5.45e+04, 7.37e+05
1.20e+01, 1.97e+06, 1.60e+07, 4.92e+09, 6.53e+10, 1.97e-01, 2.50e+01, 3.18e+00, 7.17e+01, 3.88e+03, 4.92e+05, 6.26e+04, 1.41e+06
1.60e+01, 1.33e+06, 8.40e+06, 7.98e+09, 7.79e+10, 1.59e-01, 1.15e+01, 4.94e+00, 8.34e+01, 2.11e+03, 1.53e+05, 6.57e+04, 1.11e+06
2.00e+01, 6.40e+05, 3.60e+06, 7.05e+09, 7.74e+10, 2.99e-01, 5.03e+00, 3.80e+00, 9.09e+01, 1.92e+03, 3.22e+04, 2.43e+04, 5.82e+05
2.60e+01, 1.30e+05, 2.00e+06, 4.21e+09, 2.80e+10, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
3.20e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
3.80e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
4.50e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
5.30e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
6.10e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
