[Name]
InLev_MOIMODIPscatter_MOI-3_MODIP30

[Notes]
Results of MOI/MODIP experiments, MOI 10^-3, MODIP 30

[Components]
time, RvSeg1, RvSeg9, RvSeg5, Rm1, Rm9, Rm5

[Componentnotes]


[Values]
0.00e+00, 4.01e-02, 5.19e+02, 3.63e+03, 4.20e-01, 9.20e+00, 5.44e+00
2.00e+00, NaN, 2.66e+02, 2.36e+03, 3.85e-01, 4.49e+02, 7.76e+02
3.00e+00, NaN, 2.79e+02, 2.48e+03, 3.57e-01, 6.46e+02, 1.22e+03
4.50e+00, 3.68e-02, 2.47e+02, 2.00e+02, 3.72e-01, 9.29e+02, 1.23e+03
6.00e+00, 8.80e-02, 2.73e+02, 2.20e+03, 4.60e-01, 1.16e+03, 1.31e+03
9.00e+00, 1.95e-01, 1.62e+02, 1.38e+03, 4.31e-01, 1.32e+03, 1.14e+03
1.20e+01, 4.94e-01, 1.77e+02, 1.92e+03, 4.89e-01, 1.82e+03, 1.34e+03
1.60e+01, 6.35e-01, 1.37e+02, 1.65e+03, 4.80e-01, 2.43e+03, 1.30e+03
2.00e+01, 6.50e+00, 1.25e+02, 2.47e+02, 6.91e-01, 2.69e+03, 1.88e+03
2.60e+01, 1.27e+00, 1.11e+02, 1.37e+02, 4.35e-01, 2.70e+03, 1.30e+03
3.20e+01, 1.87e+00, 1.25e+02, 1.97e+02, 4.72e-01, 2.74e+03, 1.26e+03
3.80e+01, 1.88e+00, 1.09e+02, 1.84e+02, 5.85e-01, 3.48e+03, 1.22e+03
4.50e+01, 2.53e+00, 1.15e+02, 4.04e+02, 6.16e-01, 3.79e+03, 1.21e+03
5.30e+01, 2.13e+00, 1.10e+02, 5.74e+02, 6.18e-01, 3.37e+03, 1.15e+03
6.10e+01, 2.56e+00, 9.43e+01, 4.43e+02, 7.64e-01, 2.74e+03, 1.05e+03
