[Name]
ExLev_MOIMODIPscatter_MOI30

[Notes]
Results of MOI/MODIP experiments, MOI 30

[Components]
time, Cviab, VOnlyRel, VTot, DTot, pT, pI, pTa, pIa, T, I, Ta, Ia

[Componentnotes]


[Values]
0.00e+00, 2.10e+06, NaN, NaN, NaN, 1.52e+00, 9.23e+01, 2.86e+00, 3.28e+00, 3.19e+04, 1.94e+06, 6.00e+04, 6.90e+04
2.00e+00, 1.78e+06, 4.40e+05, 9.45e+07, NaN, 4.43e-01, 9.54e+01, 8.07e-01, 3.31e+00, 7.89e+03, 1.70e+06, 1.44e+04, 5.89e+04
3.00e+00, NaN, 6.40e+05, 1.24e+08, NaN, 5.20e-01, 9.46e+01, 5.03e-01, 4.33e+00, NaN, NaN, NaN, NaN
4.50e+00, NaN, 8.00e+06, 1.51e+09, NaN, 5.98e-01, 8.76e+01, 1.06e+00, 1.08e+01, NaN, NaN, NaN, NaN
6.00e+00, 2.08e+06, 5.60e+07, 1.42e+10, NaN, 2.62e-01, 8.35e+01, 9.35e-01, 1.53e+01, 5.46e+03, 1.74e+06, 1.94e+04, 3.19e+05
9.00e+00, 1.94e+06, 8.00e+07, 2.44e+10, NaN, 2.09e-01, 5.76e+01, 9.39e-01, 4.12e+01, 4.05e+03, 1.12e+06, 1.82e+04, 8.00e+05
1.20e+01, 1.70e+06, 3.20e+08, 4.78e+10, NaN, 8.30e-02, 3.35e+01, 3.05e+00, 6.34e+01, 1.41e+03, 5.69e+05, 5.19e+04, 1.08e+06
1.60e+01, 8.50e+05, 1.60e+08, 4.16e+10, NaN, 0.00e+00, 9.72e+00, 3.00e-01, 9.00e+01, 0.00e+00, 8.26e+04, 2.55e+03, 7.65e+05
2.00e+01, 3.00e+05, 2.40e+07, 4.60e+10, NaN, 0.00e+00, 5.42e+00, 5.12e-02, 9.45e+01, 0.00e+00, 1.63e+04, 1.53e+02, 2.84e+05
2.60e+01, 7.70e+04, 6.00e+06, 4.66e+10, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
3.20e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
3.80e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
4.50e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
5.30e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
6.10e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
