[Name]
InLev_MOIMODIPscatter_MOI3_MODIP-3

[Notes]
Results of MOI/MODIP experiments, MOI 3, MODIP 10^-3

[Components]
time, RvSeg1, RvSeg9, RvSeg5, Rm1, Rm9, Rm5

[Componentnotes]


[Values]
0.00e+00, 1.07e+02, NaN, 1.25e+02, 4.40e-01, NaN, NaN
2.00e+00, 9.07e+01, NaN, 1.88e+02, 1.02e+02, NaN, 2.75e+02
3.00e+00, 6.78e+02, 1.04e+00, 4.30e+03, 8.69e+02, 2.37e+00, 1.42e+04
4.50e+00, 2.91e+04, 1.36e+02, 2.74e+04, 2.76e+03, 1.82e+01, 3.53e+04
6.00e+00, 7.06e+04, 3.19e+02, 5.02e+04, 1.81e+03, 1.80e+01, 3.30e+04
9.00e+00, 1.39e+05, 6.75e+02, 8.49e+04, 6.94e+02, 9.39e+00, 1.92e+04
1.20e+01, 1.92e+05, 1.06e+03, 1.04e+05, 7.22e+02, 9.49e+00, 9.49e+03
1.60e+01, 1.69e+05, 1.31e+03, 1.07e+05, 4.97e+02, 4.80e+00, 4.27e+03
2.00e+01, 1.41e+05, 1.04e+03, 8.83e+04, 8.44e+02, 6.70e+00, 3.92e+03
2.60e+01, NaN, NaN, NaN, NaN, NaN, NaN
3.20e+01, NaN, NaN, NaN, NaN, NaN, NaN
3.80e+01, NaN, NaN, NaN, NaN, NaN, NaN
4.50e+01, NaN, NaN, NaN, NaN, NaN, NaN
5.30e+01, NaN, NaN, NaN, NaN, NaN, NaN
6.10e+01, NaN, NaN, NaN, NaN, NaN, NaN
