[Name]
ExLev_MOIMODIPscatter_MOI3_MODIP-3

[Notes]
Results of MOI/MODIP experiments, MOI 3, MODIP 10^-3

[Components]
time, Cviab, VOnlyRel, VTot, DTot, pT, pI, pTa, pIa, T, I, Ta, Ia

[Componentnotes]


[Values]
0.00e+00, 2.14e+06, NaN, NaN, NaN, 4.74e+00, 8.99e+01, 3.00e+00, 2.33e+00, 1.01e+05, 1.92e+06, 6.42e+04, 4.99e+04
2.00e+00, 1.84e+06, 5.60e+03, 3.88e+06, NaN, 5.16e-01, 9.34e+01, 1.85e+00, 4.24e+00, 9.49e+03, 1.72e+06, 3.40e+04, 7.80e+04
3.00e+00, NaN, 1.20e+04, 1.33e+07, NaN, 1.59e-01, 9.44e+01, 8.75e-01, 4.58e+00, NaN, NaN, NaN, NaN
4.50e+00, NaN, 9.20e+05, 5.75e+08, 7.89e+06, 2.49e-01, 9.14e+01, 1.46e+00, 6.91e+00, NaN, NaN, NaN, NaN
6.00e+00, 2.08e+06, 2.40e+07, 1.32e+10, 1.30e+08, 9.61e-02, 8.85e+01, 1.27e+00, 1.02e+01, 2.00e+03, 1.84e+06, 2.63e+04, 2.11e+05
9.00e+00, 1.95e+06, 1.60e+08, 3.40e+10, 3.67e+08, 1.33e-01, 6.54e+01, 1.28e+00, 3.32e+01, 2.58e+03, 1.28e+06, 2.49e+04, 6.47e+05
1.20e+01, 1.82e+06, 8.00e+07, 5.33e+10, 6.65e+08, 5.95e-02, 4.04e+01, 1.73e+00, 5.78e+01, 1.08e+03, 7.35e+05, 3.14e+04, 1.05e+06
1.60e+01, 1.04e+06, 1.20e+08, 5.75e+10, 6.45e+08, 8.76e-02, 1.16e+01, 1.80e+00, 8.65e+01, 9.11e+02, 1.21e+05, 1.87e+04, 9.00e+05
2.00e+01, 4.70e+05, 3.20e+07, 6.03e+10, 6.78e+08, 1.33e-01, 4.31e+00, 5.87e+00, 8.97e+01, 6.23e+02, 2.03e+04, 2.76e+04, 4.22e+05
2.60e+01, 1.30e+05, 2.40e+07, 8.25e+10, 9.11e+08, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
3.20e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
3.80e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
4.50e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
5.30e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
6.10e+01, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
