[Name]
InLev_MOIMODIPscatter_MOI30

[Notes]
Results of MOI/MODIP experiments, MOI 30

[Components]
time, RvSeg1, RvSeg9, RvSeg5, Rm1, Rm9, Rm5

[Componentnotes]


[Values]
0.00e+00, 8.13e+02, NaN, 1.32e+03, 1.13e+00, NaN, 9.82e-01
2.00e+00, 3.81e+02, NaN, 8.04e+02, 4.77e+02, NaN, 8.61e+02
3.00e+00, 1.20e+03, NaN, 9.54e+03, 1.39e+03, NaN, 1.65e+04
4.50e+00, 2.27e+04, NaN, 3.94e+04, 1.79e+03, NaN, 2.56e+04
6.00e+00, 6.14e+04, NaN, 7.48e+04, 1.79e+03, NaN, 2.70e+04
9.00e+00, 1.12e+05, NaN, 8.75e+04, 6.15e+02, NaN, 1.50e+04
1.20e+01, 3.17e+04, NaN, 7.93e+04, 6.11e+02, NaN, 7.18e+03
1.60e+01, 8.22e+04, NaN, 9.13e+04, 9.14e+02, NaN, 3.48e+03
2.00e+01, 8.73e+04, NaN, 7.37e+04, 1.09e+03, NaN, 3.98e+03
2.60e+01, NaN, NaN, NaN, NaN, NaN, NaN
3.20e+01, NaN, NaN, NaN, NaN, NaN, NaN
3.80e+01, NaN, NaN, NaN, NaN, NaN, NaN
4.50e+01, NaN, NaN, NaN, NaN, NaN, NaN
5.30e+01, NaN, NaN, NaN, NaN, NaN, NaN
6.10e+01, NaN, NaN, NaN, NaN, NaN, NaN
